Trotter_steps,circuit_layers,Final_fidelity
2,1,0.5380285000430401
2,2,0.5380284990897186
2,3,0.7937545900123401
2,4,0.7937541258972194
2,5,0.8733254266784284
2,6,0.8730814352624731
2,7,0.8908241682571497
2,8,0.9758781553418654
2,9,0.789077907983305
2,10,0.9874915078760923
2,11,0.967565913106797
2,12,0.9970320027904609
2,13,0.922967129914345
2,14,0.9944767152640825
2,15,0.9985324208421074
2,16,0.9908411447270952
2,17,0.9916123908716724
2,18,0.9966009930949054
2,19,0.9987927609388569
2,20,0.9987313865941915
2,21,0.9987233360226497
2,22,0.9989824547174506
2,23,0.999028842451818
2,24,0.998991113594456
2,25,0.9993406486623009
2,26,0.9989800817374553
2,27,0.999174891027271
