Trotter_steps,circuit_layers,statevector_fidelity,frobenius_error,mpo_fidelity,err_init/err_opt
7,1,0.9660932197150177,1.983873236926065,6.059980172149345e-14,1.0676032778776776
7,2,0.9502384528053262,1.8601192482096256,4.559242659801266e-12,1.1684755914041414
7,3,0.9347827438343294,2.491620854875525,5.631672449866871e-11,1.4914367980148282
7,4,0.9256139192208831,0.6470571690877442,4.2651634950498857e-10,1140.6635106909441
7,5,0.9264995182108823,1.027206654882944,2.205047625195169e-10,4.587739337179647
7,6,0.9313895077718702,0.8685535461009817,2.982941960578029e-10,6.702789806898859
7,7,0.924782424915227,0.9015913103448787,2.811283942875731e-10,6.291888983574984
7,8,0.925818347183066,0.6621238928926905,4.170696501335252e-10,1387.9582432572076
7,9,0.928197546519742,0.5778670132413632,4.712563468338357e-10,459.2910521539603
7,10,0.9312410666237187,0.6496341948755686,4.2489307791305427e-10,641.7466084461972
7,11,0.9345878735529817,3.3222558543950864,4.0738758434823774e-10,1317.7765876914602
7,12,0.9255338762838793,0.6595746170440859,4.1866058751567943e-10,1393.187878926151
7,13,0.9345164118176683,3.326853934802952,4.1022585176253697e-10,1539.6138314563345
7,14,0.9304435225868917,0.6756224511203177,4.086960231929998e-10,2053.5805663445626
7,15,0.923421424005081,0.6126710880412476,4.4847234367968006e-10,1007.3166350634326
7,16,0.9258561687222291,0.6624531668143796,4.168643796171428e-10,1664.3494482111405
7,17,0.9262574321557836,0.6110807832568854,4.4950110691691777e-10,2323.985882123976
7,18,0.9302505942044033,0.6602827903617365,4.1821833098764996e-10,3766.2983538989765
7,19,0.9344323788550417,0.6621497906066811,4.170535035771807e-10,3826.0048492249766
7,20,0.9256779995857811,0.6622330915987023,4.1700156967791435e-10,1687.0441975452914
7,21,0.9346459727882708,0.6665749552308626,4.142991171797522e-10,5196.693105473416
7,22,0.9304946903115736,0.6650079647395275,4.1527342651789784e-10,4931.752419326271
7,23,0.9242992902573312,0.618778441353546,4.445324701428261e-10,3048.6066176744866
7,24,0.9258031475029552,0.6636355027692669,4.1612772368535703e-10,1976.8085820262438
7,25,0.9259138361632249,0.607923217016858,4.5154721997145454e-10,5210.414897245596
7,26,0.9300317371855032,0.6685002864514684,4.1310356868508287e-10,5460.277050528518
7,27,0.935940237330217,0.6604000546464504,4.1814512161662775e-10,6090.012075242439
7,28,0.9259286151182544,0.6619204485721841,4.171965032890932e-10,2005.7985020173617
7,29,0.9354967447098694,0.6606002473899202,4.180201539134251e-10,5781.915796232598
7,30,0.929911472997268,0.6620487354541886,4.171165106266122e-10,6267.579036778882
7,31,0.9238451788650045,0.6296338461895441,4.37572519209703e-10,4287.256958599479
7,32,0.9260915304902702,0.6654823367609661,4.1497835495201247e-10,2298.373827131908
7,33,0.9249514960098919,0.6207911771848944,4.432378559353162e-10,4127.7085951549325
7,34,0.9298698569440301,0.6657627152056915,4.1480400167599023e-10,7778.9872014169005
7,35,0.9363026665392348,0.6604746359873201,4.1809856300660216e-10,7234.693407865253
7,36,0.9260187933471596,0.662052806902174,4.17113972020554e-10,2331.528763974704
7,37,0.9361002075295581,0.6619604624225468,4.171715520239256e-10,7418.884342619733
7,38,0.9300638814823309,0.6670320673698416,4.1401511367247266e-10,6259.252150947956
7,39,0.9239076459242981,0.616018333867792,4.4631087174802276e-10,5916.325745978379
7,40,0.9260647583173421,0.6637349438911417,4.16065796466867e-10,2651.8453461439053
7,41,0.924702297678985,0.612705606914099,4.4845002659671164e-10,7504.846052373756
7,42,0.9299656435810398,0.6634482938497996,4.162443210333207e-10,9575.736190840278
7,43,0.9368688056077455,3.343453497242046,4.2055429095099233e-10,7725.446064256829
7,44,0.9260935713492452,0.6638901299965463,4.1596916312156683e-10,2657.478460811435
7,45,0.9368350176248071,3.3434887759639382,4.2057637852261925e-10,8099.66600182588
7,46,0.9298533012439896,0.6639178903963334,4.159518780904991e-10,8917.2079208982
7,47,0.9231286794040764,0.6237000740357965,4.413701568426491e-10,6759.393330326395
7,48,0.9262698621620858,0.6663603674816865,4.1443247400996913e-10,3001.5726369690615
7,49,0.9237022582627332,0.6205741275048731,4.433773739012678e-10,6039.713870421712
7,50,0.9295937714365488,0.6673013942050949,4.13847826654197e-10,8251.651453454122
7,51,0.9378038039749806,0.6575823208259279,4.19906036581357e-10,9137.010179993358
7,52,0.9263408067202181,0.6636579214706357,4.1611376197814843e-10,2980.3438883448925
7,53,0.9376546119067108,0.6591632644144683,4.189175858700274e-10,8213.963703508904
7,54,0.9295128216345757,0.6679422590549662,4.134499020899381e-10,10036.182471100574
7,55,0.9220221237822035,0.6215101682272803,4.4277585050626e-10,6732.438791396645
7,56,0.9265061159429712,0.6639615525740672,4.159246925336396e-10,3358.660115562061
