circuit_layers,Final_fidelity
39,0.9999900064009059
38,0.9987926117905231
37,0.9994581822513751
36,0.9992639586379676
35,0.9992408414355733
34,0.9989981578373256
33,0.9990219330575469
32,0.9992277211750249
31,0.9992623611790317
30,0.9988093217022532
29,0.9980249310118566
28,0.9978168864891369
27,0.9968899032733711
26,0.9965373251295505
25,0.998545111201225
24,0.9910831960983937
23,0.9896402393082795
22,0.9826173105815583
21,0.9911456907879648
20,0.9825880096356308
19,0.9885583042997813
18,0.9796849422040467
17,0.9869509164630832
16,0.9893410938564675
15,0.9826942105333034
14,0.9781279263147237
13,0.9807818749897553
12,0.9754632257302915
11,0.9660416921662828
