Trotter_steps,circuit_layers,Final_fidelity
2,1,0.5380285000430404
2,2,0.53802849908972
2,3,0.7937545926582524
2,4,0.7937545914665245
2,5,0.8733797930492782
2,6,0.8734366247366162
2,7,0.891968002888506
2,8,0.9779970088612301
2,9,0.7893014325637125
2,10,0.9892960244223952
2,11,0.9987767771595696
2,12,0.9987359783458418
2,13,0.9494903810235661
2,14,0.9992915282458303
2,15,0.9995661383765385
2,16,0.9989711251705384
2,17,0.9993311070241805
2,18,0.9990012132423837
2,19,0.9998959960611687
2,20,0.9999492793159481
2,21,0.9998988570157884
2,22,0.9998345473577412
2,23,0.9999330954241088
2,24,0.9999355574082059
2,25,0.9999629205812732
2,26,0.9999085923709133
2,27,0.9999517297836664
