circuit_layers,Final_fidelity
39,0.9999503858333642
38,0.9999013749983489
37,0.9999076822948394
36,0.9998963892596178
35,0.9999018214114467
34,0.9997332511369372
33,0.9998560736876996
32,0.999838617770095
31,0.9995780742655087
30,0.9993726337841643
29,0.9996214556028495
28,0.9992067826905991
27,0.9995786229089163
26,0.9993704285062116
25,0.9993918754603673
24,0.9992045868464821
23,0.9992433681854467
22,0.9990209702558722
21,0.9992773185158669
20,0.9996224356162866
19,0.9998963759173883
18,0.9990440315265126
17,0.9997452781463305
16,0.9998911477466172
15,0.7290788930455041
