circuit_layers,Final_fidelity
63,0.999941281622359
62,0.9999656428602881
61,0.9999750739604768
60,0.9999802896188243
59,0.9999834629379062
58,0.9999972917828565
57,0.9999995132636728
56,0.9999996538656408
55,0.9999997399177828
54,0.9999997932957332
53,1.0000000429695715
52,1.0000000919460343
51,1.0000000954509594
50,1.0000000977685506
49,1.0000000993636773
48,1.000000106350749
47,1.0000001086959003
46,1.000000109061123
45,1.000000109403374
44,1.0000001097282338
43,1.0000001100390858
42,1.0000001103381333
41,1.000000110626998
40,1.0000001109068757
39,1.0000001111787444
38,1.000000111443405
37,1.0000001117015629
36,1.000000111953797
35,1.0000001122006554
34,1.0000001124425983
33,1.0000001126800442
32,0.9999408994298451
31,0.9969392208022317
30,0.9776651723871754
29,0.9767283818732836
28,0.9989418436945328
27,0.9989092766096336
26,0.9988376385904596
25,0.998917384147254
24,0.9989244857909253
23,0.9990154260853714
22,0.9988919143396133
21,0.9987359556737327
20,0.9987244161403631
19,0.9988036741857885
18,0.9991068473445726
17,0.9983573189214678
16,0.998283695954418
15,0.9987305279966516
14,0.9987774586423612
13,0.9987708684054337
12,0.9978263010057683
11,0.998121333161508
10,0.9972661020581527
9,0.9973497922986337
8,0.9978614873885548
7,0.9969544699656113
6,0.5269188624834569
