Trotter_steps,circuit_layers,Starting_fidelity,Final_fidelity
5,1,0.09959976480383044,0.653186268022719
5,2,0.0995997648038304,0.6751398151823698
5,3,0.09959976480383044,0.6807716763597255
5,4,0.1020021651463267,0.6823588830814346
5,5,0.10084906500588409,0.7152940289146035
5,6,0.09674692867976632,0.7166748607489093
5,7,0.08096900201409235,0.7250477938260336
5,8,0.08746827891143305,0.8838429601091475
5,9,0.06745072678933821,0.8986065926723
5,10,0.06836141274134287,0.9130472888437363
5,11,0.08995818345800913,0.9522484781568952
5,12,0.08521089381609986,0.9568883517877681
5,13,0.08648964401753254,0.9604394602354468
5,14,0.09480168782543183,0.9635135557898522
5,15,0.11002765174657302,0.9686607078087873
5,16,0.12055021045256675,0.9700195574715469
5,17,0.12293599883691082,0.9969414827081771
5,18,0.11885622164701545,0.9973731304813589
5,19,0.10921198876364199,0.9954791277473122
5,20,0.12362478655965889,0.9976955463111721
5,21,0.07969959666598306,0.999004776895789
5,22,0.12419074605581136,0.9987507423090508
5,23,0.09191812986980488,0.9993635397058114
5,24,0.10094697518357995,0.9985801938400167
5,25,0.12385792841312195,0.9998175604956814
5,26,0.13352876194371252,0.9998697416099817
5,27,0.14980105825488996,0.9996975508378965
5,28,0.16974796567428674,0.9996920149475439
5,29,0.17264936144619844,0.9994599902142776
