Trotter_steps,circuit_layers,Starting_fidelity,Final_fidelity
5,1,0.5950778683135686,0.9981714963149818
5,2,0.5950778683135686,0.9988970751955343
5,3,0.5950778683135686,0.9988970826348461
5,4,0.5950778683135686,0.9999934354093328
5,5,0.5950778683135686,0.9999941997198627
5,6,0.5950778683135686,0.9999921132660925
5,7,0.5950778683135686,0.9999974825607235
5,8,0.5950778683135686,0.9999949490271481
5,9,0.5950778683135686,0.9999955025523458
5,10,0.5950778683135686,0.9999878020772284
5,11,0.5950778683135686,0.9999961603728682
5,12,0.5950778683135686,0.999997893316408
5,13,0.5950778683135686,0.9999953242697537
5,14,0.5950778683135686,0.9999987048482731
5,15,0.5950778683135686,0.999998540454106
5,16,0.5950778683135686,0.9999966036242854
5,17,0.5950778683135686,0.9999978109434565
5,18,0.5950778683135686,0.9999980442113886
5,19,0.5950778683135686,0.9999986345869099
5,20,0.5950778683135686,0.9999981167297924
5,21,0.5950778683135686,0.9999988419802008
5,22,0.5950778683135686,0.9999984817163393
5,23,0.5950778683135686,0.9999979681279189
