Trotter_steps,circuit_layers,Final_fidelity
5,1,0.1674381051304873
5,2,0.2961361314365194
5,3,0.4211618987440091
5,4,0.5196731794235114
5,5,0.5937065758253898
5,6,0.6362375570953268
5,7,0.5596430738098769
5,8,0.6594341202679587
5,9,0.7855133971911161
5,10,0.9507949761354682
5,11,0.8086890816377287
5,12,0.9968193726359027
5,13,0.9970645804784365
5,14,0.9294097092858726
5,15,0.9980583712540015
5,16,0.999236310506836
5,17,0.9941506831218081
5,18,0.9994563155399737
5,19,0.9975561737596181
5,20,0.9990908554923429
5,21,0.9998116221970775
5,22,0.999769500007353
5,23,0.9999053268603574
