Trotter_steps,circuit_layers,Starting_fidelity,Final_fidelity
6,1,0.6311094452087618,0.9994379703354273
6,2,0.6311094452087618,0.9995423559675853
6,3,0.6311094452087618,0.9995423564638393
6,4,0.6311094452087618,0.9999998220194578
6,5,0.6311094452087618,0.9999974638194731
6,6,0.6311094452087618,0.9999990766887839
6,7,0.6311094452087618,0.999998046497191
6,8,0.6311094452087618,0.9999993487149484
6,9,0.6311094452087618,0.9999973929706335
6,10,0.6311094452087618,0.9999998852611742
6,11,0.6311094452087618,0.999998326832791
6,12,0.6311094452087618,0.9999988968321976
6,13,0.6311094452087618,0.9999982337241299
6,14,0.6311094452087618,0.9999996823223406
6,15,0.6311094452087618,0.9999993542061841
6,16,0.6311094452087618,0.9999997042700014
6,17,0.6311094452087618,0.9999994635629295
6,18,0.6311094452087618,0.9999997849412536
6,19,0.6311094452087618,0.9999993066231506
6,20,0.6311094452087618,0.9999994432401382
6,21,0.6311094452087618,0.9999989920172649
6,22,0.6311094452087618,0.9999994108364862
6,23,0.6311094452087618,0.9999992324715229
