Trotter_steps,circuit_layers,Final_fidelity,frobenius_error,mpo_fidelity,err_init/err_opt
5,1,0.9291916721292043,1.2588184551335508,0.13733752061265467,1.908316513340698
5,2,0.979181853831343,1.5152767708205148,0.05873915222654726,5.257199099331964
5,3,0.9762352092705617,1.7382057997184246,0.017134050825267484,25.330758327210674
5,4,0.9658355835565994,1.7867983575606894,0.011363735084704948,66.5553228586449
5,5,0.9693514479253309,1.795733703463511,0.01043117997518327,539.6252309138619
5,6,0.967180324050898,1.7953723780399686,0.010468115917254411,393.15047585250824
5,7,0.9697792121623336,1.7968218375401852,0.010320341425136726,983.2013145448153
5,8,0.9678981466487296,1.797243482127577,0.010277551384937614,3898.13258113957
5,9,0.969964625319966,1.797121476176449,0.010289923857205839,1014.4334231715789
5,10,0.9684123177248617,1.7972376551707343,0.010278142120165602,1736.5337367806553
5,11,0.9691015777128674,1.7972097276009613,0.010280973644919129,11.73576089587909
5,12,0.9691015777128674,1.7972097276009613,0.010280973644919129,11.73576089587909
