Trotter_steps,circuit_layers,Starting_fidelity,Final_fidelity
5,1,0.8785612255348265,0.9998394749071396
5,2,0.8785612255348263,0.9998723104012929
5,3,0.8785612255348261,0.9998723085079702
5,4,0.8820768402934606,0.9999040980948087
5,5,0.8888064103479599,0.9998737487751177
5,6,0.8952163129606427,0.9999345295491624
5,7,0.9015613901422279,0.9999358018617093
5,8,0.9154897535625489,0.9999676016505293
5,9,0.9182253919656801,0.9999671768621273
5,10,0.9183181961874537,0.9999988929458561
5,11,0.9184910881980787,0.9999963075757378
5,12,0.9187165140682324,0.9999705877451474
5,13,0.9189407200816883,0.9999995074957453
5,14,0.9191662343501564,0.9999982806913594
5,15,0.919334529404841,0.9999984547298232
5,16,0.9194777823238233,0.9999992197532069
5,17,0.9196944803298536,0.9999987998050777
5,18,0.9226891294125872,0.9999983066998052
5,19,0.9282964441444963,0.9999996060280605
5,20,0.9334600396955978,0.9999986220062449
5,21,0.938425646269391,0.9999976680650723
5,22,0.9495557216604562,0.9999988504445052
5,23,0.9515090368776133,0.9999990332150849
5,24,0.9516621927548878,0.9999993644391743
5,25,0.951941844245989,0.9999964155207619
5,26,0.952302120073834,0.9999991289391096
5,27,0.9526605968951063,0.9999984892635959
5,28,0.9530210845234248,0.9999991221977843
5,29,0.9532865283680623,0.9999988520189904
