Trotter_steps,circuit_layers,Starting_fidelity,Final_fidelity
5,1,0.06582505555742627,0.32121597161853044
5,2,0.06834941038507988,0.3252931676321613
5,3,0.06858739295730004,0.32529316984278667
5,4,0.0685873929573001,0.3518996064060601
5,5,0.05352243544985439,0.36056630900052644
5,6,0.041630243628283124,0.4035406328640122
5,7,0.044776751058224463,0.4203074710270224
5,8,0.030199156020835095,0.47156865112128354
5,9,0.019524216880952044,0.4775613253970844
5,10,0.023119837367775804,0.5149130703165538
5,11,0.01327121426069481,0.5346499318141578
5,12,0.008122033618550888,0.5672249725474282
5,13,0.008319755491769932,0.5833585380578261
5,14,0.015787255555129182,0.6702990375828739
5,15,0.02774930500037327,0.6904376523390069
5,16,0.02655516413063698,0.7650284576943404
5,17,0.022477861381801325,0.7931143248522436
5,18,0.018469807336414172,0.7994235861249426
5,19,0.015506159082448828,0.8414552829125892
5,20,0.024697355650741767,0.8414396569610869
5,21,0.034308062885906876,0.8366655133574785
5,22,0.03764382361654953,0.9218906997299586
5,23,0.04046071473601288,0.9363690328472639
5,24,0.03409094635709039,0.9568229637498146
5,25,0.033665816690254875,0.9789289284533452
5,26,0.04064002427950062,0.9792006442293566
5,27,0.04117146299931445,0.9928187478333981
5,28,0.038558428604384215,0.9952942733022905
5,29,0.04162785721097752,0.9971190560272233
