n_repetitions,t,statevector_fidelity,err_init/err_opt
8,0.3,0.6982811562914342,6.2545557167795245
5,0.5,0.12855794521248093,2844.467008471301
4,0.4,0.3774086077810047,1884.4244293749825
10,0.5,0.12853317924098343,25.967971457972272
10,0.4,0.37749263759668095,6.984036924353169
5,0.3,0.6982170001763757,99.05264894534164
6,0.3,0.6982382520925049,47.65285712282043
5,0.25,0.8296958612702424,49.96089864456681
5,0.35,0.5398821593517605,213.22969499631537
4,0.3,0.6981920644286312,310.0642251664864
10,0.2,0.9213298605417857,1.0
8,0.2,0.9213080972502762,1.0721674985569964
8,0.25,0.8297475392410236,3.136693878810982
8,0.3,0.6982811562914342,6.2545557167795245
8,0.22,0.8897631272836233,1.7547450586670708
10,0.22,0.8897902601347988,1.0
5,0.28,0.7550426600767421,96.54089577164734
6,0.28,0.7550625397838372,30.51920605260181
6,0.28,0.7550625331795463,30.50705550546199
5,0.32,0.6369781067599574,142.50730920544416
6,0.32,0.6370004480119045,61.02127627324952
5,0.38,0.44126106221992395,605.314747395715
6,0.38,0.44128713875553544,97.09628302016054
4,0.45,0.2348679896544974,4750.631019341157
6,0.26,0.8063769645561775,16.586259905178746
8,0.26,0.8064138118609148,3.677461804141128
5,0.34,0.5726897860483373,200.99216834525646
6,0.34,0.5727133059071703,68.83222305200748
5,0.36,0.5069034655412972,230.8134049914333
6,0.36,0.5069284336922476,75.7045696214726
5,0.42,0.3167969290425938,776.4734439859989
6,0.42,0.3168170074422596,185.86464748359828
6,0.2,0.9212860058484129,7.123302619759262
6,0.22,0.8897358568113188,9.903460821062625
