Trotter_steps,circuit_layers,Final_fidelity
5,1,0.16973766385403
5,2,0.10668043624299217
5,3,0.2416796738774618
5,4,0.2677078202623009
5,5,0.15492370036023406
5,6,0.3190388157740891
5,7,0.3360815671580395
5,8,0.38210879507100715
5,9,0.4036487031930541
5,10,0.4768784910404923
5,11,0.5846411110595936
5,12,0.45280114632336743
5,13,0.6214361137569452
5,14,0.6263043697694537
5,15,0.6491199517314923
5,16,0.6579804322084162
5,17,0.4538786712760249
5,18,0.6113131593023248
5,19,0.5317002310127861
5,20,0.716149843380498
5,21,0.729810330808974
5,22,0.844111091388109
5,23,0.7000689599380839
5,24,0.9040794039741401
5,25,0.9290835254642447
5,26,0.9694643635986334
5,27,0.9878280736058561
5,28,0.8898236216585518
5,29,0.857946932429541
5,30,0.9628827819049425
5,31,0.8563309302163795
5,32,0.9948894181305943
5,33,0.995398117580629
5,34,0.993313213606228
