Trotter_steps,circuit_layers,Starting_fidelity,Final_fidelity
5,1,0.0995997746497013,0.6531862672224265
5,2,0.0995997746497013,0.6751398159850512
5,3,0.09959977464970134,0.6807716777628052
5,4,0.10200217529276244,0.6866181354807261
5,5,0.10084907496993864,0.715294028172355
5,6,0.09674693756012825,0.7166748610601058
5,7,0.08096901007229872,0.725047792229115
5,8,0.08746828278952713,0.8838429551292052
5,9,0.06745073000645546,0.8986065914130951
5,10,0.06836141612123812,0.9130472847213498
5,11,0.08995818796295148,0.9522484757634596
5,12,0.08521089860238724,0.9568883147990276
5,13,0.08648964889273841,0.9604394366244607
5,14,0.09480169330559418,0.9635135332538495
5,15,0.11002765789825056,0.9686607297757683
5,16,0.12055021699338109,0.9690415817769249
5,17,0.12293600547492682,0.9969518215434444
5,18,0.11885622811237974,0.9945020697830744
5,19,0.10921199486925684,0.9984518336668511
