Trotter_steps,circuit_layers,Final_fidelity
5,1,0.3696234704748625
5,2,0.3824196597760005
5,3,0.3941913076381865
5,4,0.3941913076381865
5,5,0.41122511298525277
5,6,0.4239055965694175
5,7,0.42395986023455373
5,8,0.4425959969507731
5,9,0.46809179026425357
5,10,0.4787123077933474
5,11,0.49995056569265395
5,12,0.5319326716959473
5,13,0.5437795184047126
5,14,0.5673824111009522
5,15,0.6033087161866527
5,16,0.6280402214084191
5,17,0.649212785932212
5,18,0.6708161867017984
5,19,0.7009877760316131
5,20,0.7115092987740161
5,21,0.7349455507884984
5,22,0.7679613245615045
5,23,0.7882223011464915
5,24,0.8061295160152379
5,25,0.8249015190135719
5,26,0.8482409092720602
5,27,0.8554749375231961
5,28,0.8753083913090115
5,29,0.9001268326940058
5,30,0.9118854406102274
5,31,0.9229419309808958
5,32,0.9358051771890947
5,33,0.9480341921424321
5,34,0.9504828616639759
5,35,0.9636438445746336
5,36,0.9760893419191957
5,37,0.9784517551084375
5,38,0.9839487229493081
5,39,0.988354858183567
