Trotter_steps,circuit_layers,Final_fidelity
6,1,0.857228070602519
6,2,0.8823042815430299
6,3,0.8840417576450307
6,4,0.9099143959352114
6,5,0.9116693336012298
6,6,0.9383534231325554
6,7,0.9401615999652148
6,8,0.24423979446137534
6,9,0.9695446531343125
6,10,0.9979806990205782
6,11,0.9998749359315335
6,12,0.9998031751996993
6,13,0.9999062375901668
6,14,0.9998302930682185
6,15,0.9999353581820084
6,16,0.9998626104400578
6,17,0.9401665723332506
6,18,0.9999901107073821
6,19,0.9999900571731842
6,20,0.9999900454010345
6,21,0.999990333239637
6,22,0.9999900089789352
6,23,0.9999900128635468
6,24,0.9999900014341738
6,25,0.9999900505204036
6,26,0.9999900593265373
6,27,0.9999901935274872
6,28,0.9999900758623337
6,29,0.9999675859331127
6,30,0.9999669863291554
6,31,0.9999900045414392
6,32,0.999990026196321
6,33,0.9999900204576271
6,34,0.9999901181038039
