Trotter_steps,circuit_layers,Starting_fidelity,Final_fidelity
5,1,0.3696194238163722,0.4726122005999247
5,2,0.37614109004190416,0.5517999270030725
5,3,0.3824165680998875,0.5517999254098448
5,4,0.3824165680998878,0.6350414607464074
5,5,0.3909746136618014,0.6386978078885411
5,6,0.39917741337342,0.7366808515266868
5,7,0.3991943806171344,0.7405377725925305
5,8,0.40829839964881265,0.8586338755184991
5,9,0.4170360489029309,0.8628403971962154
5,10,0.4170869682067488,0.9966112116380157
5,11,0.4265281429309101,0.9976063879434378
5,12,0.43558497679146596,0.9983964884737365
5,13,0.43564079124887184,0.9984068168990283
5,14,0.4452707214002322,0.9991666926715869
5,15,0.4544911364976515,0.9983938334819561
