Trotter_steps,circuit_layers,Final_fidelity
5,1,0.7024862535247389
5,2,0.7521074944919333
5,3,0.7555957588538068
5,4,0.8035691762308164
5,5,0.8068112188335835
5,6,0.8585563973252769
5,7,0.8618366255845792
5,8,0.9161890542436236
5,9,0.9201843777039994
5,10,0.9762090204216767
5,11,0.9801138374768956
5,12,0.9839943486882913
5,13,0.9846023116874679
5,14,0.9889655036619315
5,15,0.9780335208321855
5,16,0.9941488187624339
5,17,0.9945265171825405
5,18,0.9992802185728785
5,19,0.9340758756347316
5,20,0.9991962218369546
5,21,0.9991907893319454
5,22,0.9992651958068567
5,23,0.9989065834854577
5,24,0.9972747281805386
5,25,0.9896830921694162
5,26,0.997044549297817
5,27,0.9971249833102839
5,28,0.8539668375400641
5,29,0.9981056538188168
5,30,0.9993271990385277
5,31,0.9990981760028605
5,32,0.8527879873055613
5,33,0.9993666011633378
5,34,0.999659794303569
