Trotter_steps,circuit_layers,Final_fidelity
6,1,0.6811145810733468
6,2,0.8284127623963721
6,3,0.8568320634505023
6,4,0.9792212922326186
6,5,0.9982710396162107
6,6,0.9984948409041442
6,7,0.9255679085721013
6,8,0.9976417026479659
6,9,0.9983302505715916
6,10,0.9998626027367985
6,11,0.9998624883093057
6,12,0.9998451451009656
6,13,0.9999016121571535
6,14,0.9999017795301943
6,15,0.9999049578084822
6,16,0.9999017397220724
6,17,0.999901794927525
6,18,0.9999027496300541
6,19,0.9999019255940882
6,20,0.9999000297930379
6,21,0.9999004556349974
6,22,0.999902119409002
6,23,0.9999075000174903
6,24,0.9999010073546702
6,25,0.999908590493755
6,26,0.9999042538525376
