Trotter_steps,circuit_layers,Final_fidelity
10,1,0.3696234704748625
10,2,0.3729141995017269
10,3,0.37614466471928776
10,4,0.37614466471928776
10,5,0.3795911723540472
10,6,0.382977740534332
10,7,0.382977740534332
10,8,0.3863868366339265
10,9,0.3897334831220001
10,10,0.38973348312199996
10,11,0.3967066100131683
10,12,0.40339901847324106
10,13,0.4034315454071664
10,14,0.41065011773665
10,15,0.4175781559498594
10,16,0.4176080587525948
10,17,0.41947637687267825
10,18,0.4215279610822112
10,19,0.42353306056084555
10,20,0.42554840082651474
10,21,0.42761739919834113
10,22,0.4295171714188231
10,23,0.43307273598049556
10,24,0.43653383130476575
10,25,0.43655556517800287
10,26,0.4402359492752961
10,27,0.44380139912684596
10,28,0.44384591649504684
10,29,0.4475196502457554
10,30,0.4510959912063615
10,31,0.4511165118861081
10,32,0.4546438618453514
10,33,0.45806999876473076
10,34,0.458088595049635
10,35,0.46174254278155397
10,36,0.46527404027513514
10,37,0.46531278407469706
10,38,0.4689506257621459
10,39,0.4724842974567235
10,40,0.4725015225246926
10,41,0.47985162594655817
10,42,0.48677008204134564
10,43,0.48684973426250366
10,44,0.4944237259521435
10,45,0.5015535178992037
10,46,0.5016244061208246
10,47,0.5036464459040743
10,48,0.5058349751899884
10,49,0.5079934249672072
