Trotter_steps,circuit_layers,Starting_fidelity,Final_fidelity
5,1,0.8671937001815497,0.9622814031358574
5,2,0.8671937001815497,0.9647927623896735
5,3,0.8671937001815497,0.9911490299277739
5,4,0.8671937001815497,0.9946212448649638
5,5,0.8671937001815497,0.9975086421786787
5,6,0.8671937001815497,0.9981407142464053
5,7,0.8671937001815497,0.9992735979815687
5,8,0.8671937001815497,0.9994771314545121
5,9,0.8671937001815497,0.9975087659181247
5,10,0.8671937001815497,0.9999977503234523
5,11,0.8671937001815497,0.999999468115291
5,12,0.8671937001815497,0.9999992697897085
5,13,0.8671937001815497,0.9999994687527487
5,14,0.8671937001815497,0.9999992893745232
5,15,0.8671937001815497,0.9999996210551089
5,16,0.8671937001815497,0.999999355053175
5,17,0.8671937001815497,0.9999987873690467
5,18,0.8671937001815497,0.9999992014989083
5,19,0.8671937001815497,0.9999971540242428
5,20,0.8671937001815497,0.9999981107227531
5,21,0.8671937001815497,0.9999981247885026
5,22,0.8671937001815497,0.9999991673759715
5,23,0.8671937001815497,0.9999993358904539
