Trotter_steps,circuit_layers,Final_fidelity
5,1,0.05538469867833662
5,2,0.24802392131247608
5,3,0.24872561225600398
5,4,0.31405466301333307
5,5,0.3365812615677397
5,6,0.39754105787964256
5,7,0.3385377385045659
5,8,0.42442533026413976
5,9,0.4332128354693905
5,10,0.4576883428067683
5,11,0.4740252250370103
5,12,0.4937664965193129
5,13,0.48574978516926604
5,14,0.5102201256642648
5,15,0.5253878447131619
5,16,0.5254836544448389
5,17,0.5515130798825644
5,18,0.5100890574210306
5,19,0.6546186617072469
5,20,0.5457747888047907
5,21,0.7416475606549959
5,22,0.6081400603515467
5,23,0.6195104604678852
5,24,0.9210316413406907
5,25,0.5575853639690012
5,26,0.737594209752946
5,27,0.5731817597596786
5,28,0.5981593834994512
5,29,0.559598553431855
5,30,0.8363993462901175
5,31,0.7057318614047122
5,32,0.9154098701844772
5,33,0.723104217507155
5,34,0.9499501758599007
5,35,0.9684428265758469
5,36,0.8505048049996603
5,37,0.8618685913574811
5,38,0.8285390614221881
5,39,0.6335522858445118
5,40,0.7385033688531722
5,41,0.769830527818444
5,42,0.7914251023462284
