Trotter_steps,circuit_layers,Final_fidelity
10,1,0.09974420589899541
10,2,0.09974420589899537
10,3,0.09974420589899541
10,4,0.09974420589899541
10,5,0.09974420589899541
10,6,0.09974420589899541
10,7,0.09974420589899544
10,8,0.10214026330953607
10,9,0.10214026330953607
10,10,0.10278749176522331
10,11,0.10278749176522331
10,12,0.09971908142388403
10,13,0.09971908142388403
10,14,0.09720457496473475
10,15,0.09720457496473475
10,16,0.10311460836457573
10,17,0.10311460836457569
10,18,0.10668346065012037
10,19,0.1118416187753999
10,20,0.11138776246071927
10,21,0.11988260557311702
10,22,0.12502484819140333
10,23,0.12470325314295688
10,24,0.13261281536683123
10,25,0.1372778737802912
10,26,0.13310515801290457
10,27,0.13569311817931376
10,28,0.13295351975727984
10,29,0.13063833970844213
10,30,0.12554252618170303
10,31,0.12620848614252358
10,32,0.11793528901857071
10,33,0.1190420356394333
10,34,0.10966781034062444
10,35,0.10902140559428404
10,36,0.11081773044383063
10,37,0.09973836809129813
10,38,0.10861036828425165
10,39,0.11649459520299549
