Trotter_steps,circuit_layers,Starting_fidelity,Final_fidelity
6,1,0.7408351579628663,0.9995422531342202
6,2,0.6962619350476501,0.9999971357036457
6,3,0.6223850866162014,0.9999980075515732
6,4,0.6223850866162014,0.9999980075515732
6,5,0.6223850866162014,0.9999980075515732
6,6,0.6223850866162014,0.9999980075515732
6,7,0.6223850866162014,0.9999980075515732
6,8,0.6223850866162014,0.9999980075515732
6,9,0.6223850866162014,0.9999980075515732
6,10,0.6223850866162014,0.9999980075515732
6,11,0.6223850866162014,0.9999980075515732
6,12,0.6223850866162014,0.9999980075515732
6,13,0.6223850866162014,0.9999980075515732
6,14,0.6223850866162014,0.9999980075515732
