Trotter_steps,circuit_layers,Starting_fidelity,Final_fidelity
5,1,0.7888707808266643,0.9988966585202456
5,2,0.7694907479101724,0.9999942159561105
5,3,0.7316095289906167,0.9999982354174644
5,4,0.716141649678745,0.9999943693053414
5,5,0.6804183861603309,0.999996088750575
5,6,0.6701094359197916,0.9999946467975515
5,7,0.6379526319087679,0.9999983385457365
5,8,0.633531218475404,0.9999978024816236
5,9,0.6056172816170448,0.9999969710013576
5,10,0.6075011457372401,0.9999984561109548
5,11,0.5950778683135525,0.9999981316655078
5,12,0.5950778683135525,0.9999981316655078
5,13,0.5950778683135525,0.9999981316655078
5,14,0.5950778683135525,0.9999981316655078
