Trotter_steps,circuit_layers,Final_fidelity
5,1,0.16533635742069097
5,2,0.29613613167251496
5,3,0.42116185666155315
5,4,0.5196728033909244
5,5,0.5937758635774665
5,6,0.6365525781702477
5,7,0.751601090054099
5,8,0.8972220645807716
5,9,0.6517238732633867
5,10,0.9763000561816922
5,11,0.9913432080981573
5,12,0.9884565731942679
5,13,0.9936521693484657
5,14,0.9975608846173016
5,15,0.9993337135865693
5,16,0.9992673298040391
5,17,0.9994705381398713
5,18,0.9946612344566838
5,19,0.995307307851918
5,20,0.9963345292663357
5,21,0.9982249589558253
5,22,0.9997835338399755
5,23,0.9948778332822568
